,0,1
0,metro,2113
1,apartment,1884
2,private,1680
3,room,1676
4,walk,1588
5,-,1549
6,access,1437
7,full,1419
8,bedroom,1418
9,living,1397
10,home,1383
11,one,1326
12,capitol,1316
13,house,1297
14,located,1236
15,street,1214
16,dc,1130
17,kitchen,1119
18,space,1068
19,neighborhood,1053
20,2,1052
21,guests,1050
22,two,1049
23,blocks,1047
24,parking,973
25,available,966
26,great,950
27,bed,938
28,&,932
29,also,914
30,queen,884
31,basement,870
32,columbia,837
33,large,791
34,eastern,758
35,bus,755
36,place,745
37,away,742
38,close,738
39,national,736
40,bathroom,727
41,restaurants,713
42,"kitchen,",708
43,1,701
44,block,698
45,walking,698
46,heights,680
47,new,665
48,stay,664
49,hill,650
50,historic,642
51,enjoy,617
52,3,614
53,renovated,611
54,easy,607
55,area,590
56,need,586
57,within,583
58,free,579
59,minute,578
60,fully,576
61,floor,573
62,quiet,564
63,minutes,546
64,perfect,545
65,park,518
66,"restaurants,",507
67,dining,503
68,dc.,499
69,modern,499
70,station,498
71,row,497
72,location,495
73,short,494
74,size,493
75,tv,492
76,use,491
77,beautiful,489
78,distance,489
79,spacious,488
80,"room,",485
81,guest,480
82,comfortable,476
83,market,475
84,coffee,472
85,"metro,",456
86,"bed,",455
87,shared,444
88,front,439
89,5,439
90,unit,437
91,entire,433
92,bath,431
93,back,426
94,including,408
95,small,407
96,newly,406
97,heart,398
98,washington,394
99,separate,390
100,home.,388
101,entrance,386
102,4,385
103,10,379
104,downtown,378
105,best,376
106,neighborhood.,370
107,well,367
108,building,365
109,live,365
110,like,358
111,amenities,357
112,love,357
113,please,356
114,right,351
115,city,350
116,us,348
117,"bedroom,",343
118,min,336
119,cozy,329
120,business,329
121,steps,328
122,english,328
123,studio,326
124,local,325
125,grocery,325
126,"market,",325
127,away.,323
128,•,322
129,room.,320
130,house.,319
131,everything,319
132,welcome,317
133,bike,305
134,many,305
135,equipped,304
136,laundry,301
137,"bathroom,",300
138,includes,300
139,open,299
