,nbo words,nbo word count,review words,review word count,descrip words,descrip word count
0,neighborhood,1144,great,2607,metro,2113
1,walk,821,stay,2229,apartment,1884
2,restaurants,730,place,1818,private,1680
3,capitol,687,apartment,1616,room,1676
4,street,669,would,1452,walk,1588
5,metro,625,us,1365,-,1549
6,blocks,608,nice,1041,access,1437
7,eastern,500,recommend,1020,full,1419
8,market,498,metro,1004,bedroom,1418
9,great,487,location,991,living,1397
10,park,473,really,947,home,1383
11,columbia,453,dc,926,one,1326
12,dc,443,everything,891,capitol,1316
13,also,438,house,889,house,1297
14,within,436,room,820,located,1236
15,-,433,time,791,street,1214
16,located,432,clean,790,dc,1130
17,walking,432,also,789,kitchen,1119
18,one,430,comfortable,786,space,1068
19,hill,425,good,755,neighborhood,1053
20,national,414,-,741,2,1052
21,historic,414,definitely,730,guests,1050
22,away,388,close,705,two,1049
23,"restaurants,",387,well,701,blocks,1047
24,heights,360,walk,695,parking,973
25,minute,360,easy,669,available,966
26,block,325,wonderful,657,great,950
27,house,317,staying,646,bed,938
28,close,311,dc.,641,&,932
29,local,310,get,628,also,914
30,many,310,home,623,queen,884
31,best,282,even,603,basement,870
32,short,281,made,584,columbia,837
33,minutes,277,highly,556,large,791
34,bars,277,perfect,555,eastern,758
35,neighborhood.,275,enjoyed,550,bus,755
36,away.,272,helpful,523,place,745
37,quiet,271,like,520,away,742
38,petworth,270,one,490,close,738
39,area,266,could,488,national,736
40,grocery,265,"clean,",487,bathroom,727
41,coffee,260,neighborhood,485,restaurants,713
42,distance,256,stayed,468,"kitchen,",708
43,home,249,first,461,1,701
44,residential,234,stay.,458,block,698
45,washington,233,around,453,walking,698
46,&,220,host,449,heights,680
47,"market,",218,washington,439,new,665
48,bus,213,walking,432,stay,664
49,dc.,210,bus,426,hill,650
50,shops,206,bed,399,historic,642
51,two,205,back,390,enjoy,617
52,row,205,friendly,389,3,614
53,new,202,much,385,renovated,611
54,food,192,felt,382,easy,607
55,access,192,lovely,381,area,590
56,rock,191,&,377,need,586
57,u,190,thanks,369,within,583
58,easy,190,again.,366,free,579
59,creek,187,restaurants,364,minute,578
60,"bars,",186,two,361,fully,576
61,pleasant,180,comfortable.,349,floor,573
62,city,175,station,342,quiet,564
63,like,170,quiet,336,minutes,546
64,barracks,170,area,335,perfect,545
65,10,167,host.,332,park,518
66,apartment,161,beautiful,330,"restaurants,",507
67,2,160,little,328,dining,503
68,well,157,experience,327,dc.,499
69,downtown,156,next,326,modern,499
70,"park,",155,away,324,station,498
71,restaurant,155,make,320,row,497
72,"shops,",153,feel,319,location,495
73,station,153,provided,318,short,494
74,nearby,150,convenient,318,size,493
75,lots,150,thank,316,tv,492
76,around,150,right,316,use,491
77,14th,146,kitchen,316,beautiful,489
78,beautiful,145,needed,315,distance,489
79,neighborhoods,144,family,313,spacious,488
80,place,144,need,305,"room,",485
81,bike,143,located,303,guest,480
82,adams,141,loved,303,comfortable,476
83,dc's,140,hosts,299,market,475
84,several,140,visit,298,coffee,472
85,friendly,139,airbnb,294,"metro,",456
86,location,139,day,292,"bed,",455
87,library,137,place.,289,shared,444
88,3,136,short,284,front,439
89,"street,",134,excellent,284,5,439
90,5,133,street,282,unit,437
91,along,132,parking,278,entire,433
92,min,131,space,274,bath,431
93,miles,130,go,273,back,426
94,us,129,home.,272,including,408
95,right,126,within,269,small,407
96,small,125,apartment.,269,newly,406
97,including,123,best,263,heart,398
98,"neighborhood,",123,come,261,washington,394
99,heart,123,"comfortable,",254,separate,390
100,"capitol,",123,always,251,home.,388
101,near,122,way,249,entrance,386
