,review words,review word count
0,great,2607
1,stay,2229
2,place,1818
3,apartment,1616
4,would,1452
5,us,1365
6,nice,1041
7,recommend,1020
8,metro,1004
9,location,991
10,really,947
11,dc,926
12,everything,891
13,house,889
14,room,820
15,time,791
16,clean,790
17,also,789
18,comfortable,786
19,good,755
20,-,741
21,definitely,730
22,close,705
23,well,701
24,walk,695
25,easy,669
26,wonderful,657
27,staying,646
28,dc.,641
29,get,628
30,home,623
31,even,603
32,made,584
33,highly,556
34,perfect,555
35,enjoyed,550
36,helpful,523
37,like,520
38,one,490
39,could,488
40,"clean,",487
41,neighborhood,485
42,stayed,468
43,first,461
44,stay.,458
45,around,453
46,host,449
47,washington,439
48,walking,432
49,bus,426
50,bed,399
51,back,390
52,friendly,389
53,much,385
54,felt,382
55,lovely,381
56,&,377
57,thanks,369
58,again.,366
59,restaurants,364
60,two,361
61,comfortable.,349
62,station,342
63,quiet,336
64,area,335
65,host.,332
66,beautiful,330
67,little,328
68,experience,327
69,next,326
70,away,324
71,make,320
72,feel,319
73,provided,318
74,convenient,318
75,thank,316
76,right,316
77,kitchen,316
78,needed,315
79,family,313
80,need,305
81,located,303
82,loved,303
83,hosts,299
84,visit,298
85,airbnb,294
86,day,292
87,place.,289
88,short,284
89,excellent,284
90,street,282
91,parking,278
92,space,274
93,go,273
94,home.,272
95,within,269
96,apartment.,269
97,best,263
98,come,261
99,"comfortable,",254
100,always,251
101,way,249
102,breakfast,247
103,lots,246
104,able,242
105,use,241
106,blocks,241
107,distance,240
108,gave,235
109,city,234
110,super,233
111,extremely,231
112,information,230
113,many,228
114,sure,228
115,access,227
116,night,227
117,serge,224
118,near,221
119,safe,220
120,bathroom,219
121,area.,218
122,minute,217
123,minutes,217
124,spacious,216
125,2,215
126,private,213
127,capitol,212
128,chris,211
129,see,210
130,every,207
131,basement,207
132,anyone,205
133,trip,205
134,plenty,203
135,exactly,203
136,better,202
137,hosts.,200
138,enough,198
139,house.,195
140,location.,195
141,available,194
142,got,194
143,d.c.,192
144,fantastic,192
145,went,189
146,find,188
147,lot,185
148,"host,",185
149,visiting,184
150,coffee,184
151,want,182
152,places,182
153,found,180
154,things,177
155,people,177
156,left,176
157,great.,176
158,helpful.,176
159,"location,",174
160,took,173
161,neighborhood.,172
162,days,172
163,quite,171
164,ken,171
165,welcoming,169
166,bit,168
167,3,167
168,big,166
169,kind,166
170,amazing,165
171,de,165
172,never,165
173,"dc,",165
174,public,163
175,nicole,162
176,arrived,161
177,check,160
178,5,160
179,bedroom,159
180,jean,159
181,couple,158
182,us.,157
183,getting,156
184,nights,156
185,cozy,156
186,absolutely,156
187,downtown,156
188,looking,154
189,hope,154
190,small,154
191,union,154
192,food,153
193,metro.,153
194,matt,152
195,etc.,151
196,local,151
197,block,151
198,stop,149
199,warm,148
200,"restaurants,",148
201,grocery,148
202,whole,147
203,take,147
204,clean.,147
205,et,144
206,accommodating,143
207,city.,142
208,return,142
209,help,141
210,meet,141
211,subway,140
212,using,140
213,national,140
214,carriage,140
215,gracious,138
216,pleasant,138
217,experience.,137
218,there.,137
219,questions,136
220,needed.,135
221,friends,135
222,teresa,135
223,"metro,",134
224,full,133
225,large,133
226,love,132
227,living,132
228,helped,131
229,quick,130
230,stocked,130
231,"stay,",128
232,work,128
233,4,128
234,husband,128
235,washington.,128
236,met,127
237,away.,127
238,suite,127
239,came,126
240,10,126
241,town,126
242,though,126
243,far,125
244,hotel,125
245,time.,125
246,très,124
247,know,124
248,responsive,124
249,late,124
250,robin,124
251,nearby,123
252,long,123
253,"nice,",123
254,well.,122
255,park,122
256,it.,121
257,"place,",121
258,especially,121
259,new,121
260,"apartment,",121
261,bike,120
262,joel,120
263,going,119
264,guest,118
265,again!,117
266,station.,117
267,ever,116
268,enjoy,115
269,spent,115
270,remuzzi,115
271,although,114
272,host!,114
273,dupont,113
274,awesome,112
275,interesting,112
276,est,112
277,happy,111
278,week,111
279,front,111
280,mall,111
281,i'm,110
282,equipped,110
283,"friendly,",109
284,say,109
285,pretty,109
286,ride,109
287,"spacious,",109
288,"great,",109
289,market,109
290,since,108
291,welcome,107
292,easily,106
293,.,106
294,à,105
295,car,105
296,brothers,104
297,without,103
298,room.,103
299,extra,103
300,amenities,103
301,denise,103
302,la,102
303,appreciated,102
304,three,102
305,wanted,102
306,tv,102
307,natasha,102
308,dc!,101
309,air,101
310,several,100
311,conveniently,100
312,part,99
313,offered,99
314,four,98
315,eat,98
316,store,98
317,anything,96
318,morning,96
319,book,96
320,can't,96
321,--,96
322,another,95
323,stay!,95
324,eastern,95
325,tips,94
326,place!,94
327,problem,93
328,serge's,93
329,day.,92
330,ami,92
331,rossen,92
332,"house,",91
333,used,91
334,perfect.,91
335,communication,91
336,condo,91
337,"quiet,",91
338,worked,91
339,plus,91
340,making,90
341,"washington,",90
342,friend,90
343,"area,",90
344,here.,90
345,arrival,90
346,friendly.,89
347,last,89
348,kip,89
349,look,88
350,nous,88
351,main,88
352,hill,88
353,convenient.,88
354,including,88
355,walked,87
356,i'd,87
357,overall,87
358,15,87
359,cool,87
360,fully,87
361,:),86
362,!,86
363,sarah,86
364,"room,",85
365,give,85
366,"hosts,",85
367,transportation,84
368,light,84
369,plan,84
370,flat,84
371,melissa,84
372,door,83
373,instructions,83
374,fun,82
375,comfy,82
376,night.,82
377,let,82
378,nice.,81
379,maps,81
380,still,81
381,set,81
382,"bed,",81
383,too.,81
384,dog,81
385,corner,80
386,travel,80
387,quickly,80
388,real,79
389,"neighborhood,",79
390,snacks,79
391,recommended,79
392,might,79
393,care,78
394,there's,78
395,incredibly,77
396,pleasure,77
397,capital,77
398,train,77
399,pictures,76
400,accommodating.,76
401,restaurants.,76
402,min,76
403,neighbourhood,76
404,guests,76
405,great!,76
406,thought,76
407,jane,76
408,kids,75
409,center,75
410,",",75
411,needs,75
412,end,75
413,laundry,75
414,molly,75
415,asked,74
416,early,74
417,(and,74
418,hot,74
419,anthony,74
420,across,74
421,suggestions,74
422,fridge,74
423,nicely,73
424,coming,73
425,"station,",73
426,washer,73
427,makes,72
428,wifi,72
429,"overall,",72
430,weekend,72
431,kelly,72
432,certainly,71
433,trip.,71
434,unit,71
435,white,71
436,paulette,71
437,lylie,71
438,free,70
439,space.,70
440,distance.,70
441,cabin,70
442,en,69
443,spend,69
444,ideal,69
445,20,69
446,water,69
447,"also,",69
448,outside,69
449,thing,69
450,street.,69
451,shops,69
452,apt,69
453,tourist,68
454,fresh,68
455,top,68
456,described,68
457,"kitchen,",68
458,le,68
459,wife,67
460,"home,",67
461,bars,67
462,sights,67
463,truly,67
464,attentive,67
465,internet,67
466,1,67
467,floor,66
468,may,66
469,traveling,66
470,arrival.,66
471,liz,66
472,quiet.,66
473,need.,66
474,nick,66
475,advice,65
476,spot,65
477,liked,65
478,"beautiful,",65
479,town.,64
480,them.,64
481,welcomed,64
482,people.,64
483,shower,64
484,mall.,64
485,cute,64
486,almost,64
487,out.,64
488,five,64
489,via,64
490,"all,",64
491,circle,64
492,un,64
493,stops,64
494,think,64
495,share,63
496,person,63
497,in.,63
498,line,63
499,perfectly,63
500,charlotte,63
501,visit.,63
502,cat,63
503,nat,63
504,max,63
505,forward,62
506,welcoming.,62
507,less,62
508,conference,62
509,along,62
510,marina,62
511,busy,61
512,useful,61
513,family.,61
514,rental,61
515,wish,61
516,accommodations,61
517,sleep,61
518,it!,61
519,nearby.,61
520,business,61
521,flexible,61
522,entrance,61
523,responded,61
524,pass,61
525,daughter,60
526,slept,60
527,kept,60
528,everything.,60
529,huge,60
530,directions,59
531,around.,59
532,privacy,59
533,"there,",59
534,takes,59
535,restaurant,59
